Date,App,Valor
3/16/2026,Uber,48.89
9/23/2025,BlaBlaCar,93.53
8/9/2026,BlaBlaCar,43.15
1/9/2026,BlaBlaCar,20.96
7/27/2026,BlaBlaCar,29.28
6/3/2026,BlaBlaCar,35.45
11/24/2025,BlaBlaCar,94.73
3/25/2026,Uber,73.52
2/16/2026,Uber,88.94
3/27/2026,Uber,93.14
5/10/2026,BlaBlaCar,22.4
2/23/2026,BlaBlaCar,72.29
10/13/2025,BlaBlaCar,61.79
3/31/2026,BlaBlaCar,55.23
1/4/2026,BlaBlaCar,58.59
5/18/2026,BlaBlaCar,55.66
8/3/2026,Uber,29.6
7/3/2026,BlaBlaCar,18.54
4/24/2026,BlaBlaCar,62.38
10/30/2025,BlaBlaCar,43.2
2/11/2026,BlaBlaCar,80.49
8/12/2026,BlaBlaCar,81.11
7/15/2026,Uber,40.44
11/10/2025,BlaBlaCar,34.42
1/4/2026,Uber,77.6
3/11/2026,BlaBlaCar,35.07
6/12/2026,Uber,36.62
12/17/2025,BlaBlaCar,68.87
3/25/2026,Uber,41.42
2/19/2026,Uber,31.52
6/6/2026,Uber,21.92
9/22/2025,BlaBlaCar,41.99
9/10/2025,Uber,71.32
7/23/2026,Uber,50.82
7/31/2026,Uber,30.54
8/23/2026,Uber,22.93
1/18/2026,Uber,54.86
4/20/2026,BlaBlaCar,48.98
4/23/2026,BlaBlaCar,75.05
3/23/2026,Uber,71.98
1/28/2026,BlaBlaCar,33.27
12/9/2025,BlaBlaCar,45.29
4/6/2026,Uber,88.49
9/6/2025,Uber,73.71
4/12/2026,BlaBlaCar,32.02
3/6/2026,BlaBlaCar,15.77
9/4/2025,BlaBlaCar,72.56
12/25/2025,Uber,32.08
10/17/2025,BlaBlaCar,68.24
3/6/2026,Uber,29.57
6/26/2026,Uber,85.96
3/20/2026,BlaBlaCar,48.33
12/17/2025,Uber,75.36
7/20/2026,BlaBlaCar,37.6
7/28/2026,BlaBlaCar,29.2
7/29/2026,BlaBlaCar,49.27
3/18/2026,BlaBlaCar,69.28
12/2/2025,BlaBlaCar,50.96
7/12/2026,Uber,91.47
9/6/2025,Uber,76.04
11/18/2025,BlaBlaCar,82.94
1/29/2026,Uber,80.3
7/5/2026,BlaBlaCar,97.94
